EmployeeID ,Gender ,Age ,HireDate  ,YearsAtCompany ,Grade ,SalaryPerAnnum ,Country   ,SBU   ,BuisnesUnit            ,Practice        ,PerformanceScore ,GABL     ,EmploymentType ,Department ,AttritionRisk ,PromotionEligible ,ActiveStatus
E00001      ,Female , 58 ,2011-08-13 ,              14 ,B     ,         1420000 ,UK        ,CIS   ,Public Sector ,Technology      ,Good              ,Onshore  ,Full-Time       ,Operations ,High           ,No                 ,Active
E00002      ,Female , 44 ,2001-06-04 ,              24 ,F     ,         2420000 ,Singapore ,APAC  ,Public Sector ,Engineering     ,Average           ,Onshore  ,Full-Time       ,Marketing  ,High           ,Yes                ,Active
E00003      ,Male   , 24 ,2016-05-01 ,               9 ,C     ,         1340000 ,Japan     ,FF    ,Banking       ,Digital         ,Below Average     ,Offshore ,Part-Time       ,Marketing  ,Medium         ,Yes                ,Inactive
E00004      ,Male   , 25 ,2011-10-30 ,              14 ,C     ,         1900000 ,Canada    ,CIS   ,Telecom       ,Human Resources ,Excellent         ,Onshore  ,Full-Time       ,Operations ,Low            ,No                 ,Active
E00005      ,Male   , 25 ,2004-10-18 ,              21 ,C     ,         2500000 ,Brazil    ,MEA   ,Retail        ,Cybersecurity   ,Average           ,Offshore ,Part-Time       ,Sales      ,Low            ,No                 ,Active
E00006      ,Male   , 56 ,2008-12-17 ,              17 ,F     ,          830000 ,Japan     ,EU    ,Telecom       ,Human Resources ,Excellent         ,Onshore  ,Part-Time       ,Legal      ,Low            ,Yes                ,Active
E00007      ,Male   , 59 ,2022-12-17 ,               3 ,A     ,         2960000 ,Singapore ,LATAM ,Insurance     ,Digital         ,Average           ,Offshore ,Full-Time       ,Operations ,Medium         ,No                 ,Inactive
E00008      ,Male   , 43 ,2002-03-21 ,              23 ,A     ,         2680000 ,Brazil    ,FF    ,Retail        ,Consulting      ,Average           ,Offshore ,Contract        ,Sales      ,Medium         ,No                 ,Inactive
E00009      ,Male   , 41 ,2004-07-24 ,              21 ,A     ,         3140000 ,UK        ,MEA   ,Public Sector ,Technology      ,Average           ,Offshore ,Full-Time       ,Legal      ,Medium         ,No                 ,Active
E00010      ,Female , 57 ,2020-03-13 ,               5 ,E     ,          920000 ,Germany   ,MEA   ,Banking       ,Digital         ,Average           ,Onshore  ,Contract        ,Finance    ,Low            ,Yes                ,Active
E00011      ,Female , 60 ,2022-08-18 ,               3 ,D     ,         1170000 ,India     ,APAC  ,Retail        ,Technology      ,Below Average     ,Onshore  ,Full-Time       ,Sales      ,Medium         ,No                 ,Active
E00012      ,Male   , 23 ,2005-08-06 ,              20 ,B     ,         3320000 ,Singapore ,LATAM ,Banking       ,Consulting      ,Average           ,Offshore ,Part-Time       ,Marketing  ,Medium         ,Yes                ,Inactive
E00013      ,Male   , 34 ,2012-04-11 ,              13 ,D     ,         1410000 ,UK        ,NA    ,Public Sector ,Human Resources ,Excellent         ,Offshore ,Full-Time       ,Sales      ,Medium         ,No                 ,Active
E00014      ,Female , 34 ,2006-06-15 ,              19 ,F     ,         3180000 ,India     ,FF    ,Banking       ,Digital         ,Average           ,Onshore  ,Full-Time       ,Marketing  ,Medium         ,Yes                ,Active
E00015      ,Male   , 31 ,2021-06-08 ,               4 ,C     ,         2300000 ,France    ,APAC  ,Public Sector ,Digital         ,Average           ,Offshore ,Part-Time       ,HR         ,Medium         ,Yes                ,Active
